particular_model_id,car_model_id,feature
"1,1,""Leather interior"""
"2,2,""Sunroof"""
"3,3,""Sports package"""
"4,4,""Heated seats"""
"5,5,""Premium audio system"""
"6,6,""All-wheel drive"""
"7,7,""Tinted windows"""
"8,8,""Carbon fiber trim"""
"9,9,""Adaptive cruise control"""
"10,10,""Wireless charging"""
"11,11,""360-degree camera"""
"12,12,""Lane-keeping assist"""
"13,13,""Panoramic roof"""
"14,14,""High-performance brakes"""
"15,15,""Night vision system"""
"16,16,""Off-road package"""
"17,17,""Heads-up display"""
"18,18,""Massaging seats"""
"19,19,""Ambient lighting"""
"20,20,""Remote start"""
